zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"","CustomLabel.CEC_AR_Error_Message_Profile","You don't have sufficient access to Close this case.","","","","","","","","","","","","","","","CustomLabel$CEC_AR_Error_Message_Profile","Will be Transalted","No"
"","CustomLabel.CEC_AR_Reassign_RecType_Error","Re-Assign an AR case is applicable only for AR cases.","","","","","","","","","","","","","","","CustomLabel$CEC_AR_Reassign_RecType_Error","Will be Transalted","No"
"","CustomLabel.CEC_AccountEditRestriction","You are not allowed to edit Accounts of this record type.","","","","","","","","","","","","","","","CustomLabel$CEC_AccountEditRestriction","Will be Transalted","No"
"","CustomLabel.CEC_AccountEditRestrictionNonCEC","This account's source system is not CEC.You are not allowed to edit Non CEC Accounts.","","","","","","","","","","","","","","","CustomLabel$CEC_AccountEditRestrictionNonCEC","Will be Transalted","No"
"","CustomLabel.CEC_Active_EscFlag","Active","","","","","","","","","","","","","","","CustomLabel$CEC_Active_EscFlag","Will be Transalted","No"
"","CustomLabel.CEC_Activities_Tab_Name","ACTIVITIES","","","","","","","","","ACTIVITÉ","","","","","","CustomLabel$CEC_Activities_Tab_Name","Will be Transalted","No"
"","CustomLabel.CEC_Add_Identifier_Validation_Message","Please select add to create the shipment identifier(s)","","","","","","","","","","","","","","","CustomLabel$CEC_Add_Identifier_Validation_Message","Will be Transalted","No"
"","CustomLabel.CEC_Additonal_Case_Info_Uppercase","ADDITIONAL CASE INFO","","","","","","","","","INFORMATIONS SUPPLÉMENTAIRES","","","","","","CustomLabel$CEC_Additonal_Case_Info_Uppercase","Will be Transalted","No"
"","CustomLabel.CEC_Address_City_Validation","City is mandatory to be selected for country","","","","","","","","","","","","","","","CustomLabel$CEC_Address_City_Validation","Will be Transalted","No"
"","CustomLabel.CEC_Address_Country_Validation","Complete this field","","","","","","","","","","","","","","","CustomLabel$CEC_Address_Country_Validation","Will be Transalted","No"
"","CustomLabel.CEC_Address_Province_Validation","State/Province is mandatory to be selected for country","","","","","","","","","","","","","","","CustomLabel$CEC_Address_Province_Validation","Will be Transalted","No"
"","CustomLabel.CEC_Address_Street_Validation","Street is mandatory to be selected for country","","","","","","","","","","","","","","","CustomLabel$CEC_Address_Street_Validation","Will be Transalted","No"
"","CustomLabel.CEC_AdvanceGroupAssignemt_AvailableLabel","Available Users","","","","","","","","","","","","","","","CustomLabel$CEC_AdvanceGroupAssignemt_AvailableLabel","Will be Transalted","No"
"","CustomLabel.CEC_AdvanceGroupAssignemt_MemberLabel","Member Users","","","","","","","","","","","","","","","CustomLabel$CEC_AdvanceGroupAssignemt_MemberLabel","Will be Transalted","No"
"","CustomLabel.CEC_AdvanceGroupAssignemt_nogroupmessage","You don't have any groups to manage","","","","","","","","","","","","","","","CustomLabel$CEC_AdvanceGroupAssignemt_nogroupmessage","Will be Transalted","No"
"","CustomLabel.CEC_Alert_Account_RecordTypeDeveloperNames","Account","","","","","","","","Conta","","","","","","","CustomLabel$CEC_Alert_Account_RecordTypeDeveloperNames","Will be Transalted","No"
"","CustomLabel.CEC_Alert_Account_Upload_Step1","Download the template.","","","","","","","","","","","","","","","CustomLabel$CEC_Alert_Account_Upload_Step1","Will be Transalted","No"
"","CustomLabel.CEC_Alert_Account_Upload_Step2","Fill the Account Number and CEC Alert Message Number in the template.","","","","","","","","","","","","","","","CustomLabel$CEC_Alert_Account_Upload_Step2","Will be Transalted","No"
"","CustomLabel.CEC_Alert_Account_Upload_Step3","Upload the template.","","","","","","","","","","","","","","","CustomLabel$CEC_Alert_Account_Upload_Step3","Will be Transalted","No"
"","CustomLabel.CEC_Alert_Account_Upload_Step4","Click 'Submit' to process the file or 'Clear' to reset.","","","","","","","","","","","","","","","CustomLabel$CEC_Alert_Account_Upload_Step4","Will be Transalted","No"
"","CustomLabel.CEC_Already_Second_request","This case has already has been marked for 2nd request.","","","","","","","","","","","","","","","CustomLabel$CEC_Already_Second_request","Will be Transalted","No"
"","CustomLabel.CEC_Assistance_Required_Record_Type_Name","CEC - Assistance Required Case","","","","","","","","","","","","","","","CustomLabel$CEC_Assistance_Required_Record_Type_Name","Will be Transalted","No"
"","CustomLabel.CEC_Batch_Subject","Exceeded limit in Queue","","","","","","","","","","","","","","","CustomLabel$CEC_Batch_Subject","Will be Transalted","No"
"","CustomLabel.CEC_Batch_message_header","Dear Team,<br><br>Following Queues has exceeded the threshold limit :<br><br><table border="1" style="border-collapse: collapse"><tr><th> Queue Name </th><th>  Threshold Limit  </th><th>  Current Limit  </th></tr>","","","","","","","","","","","","","","","CustomLabel$CEC_Batch_message_header","Will be Transalted","No"
"","CustomLabel.CEC_Batch_message_salutation","</table><br><br> Thanks","","","","","","","","","","","","","","","CustomLabel$CEC_Batch_message_salutation","Will be Transalted","No"
"","CustomLabel.CEC_Button_Delete","Delete","","","","","","","","","","","","","","","CustomLabel$CEC_Button_Delete","Will be Transalted","No"
"","CustomLabel.CEC_Button_Ignore_Matches","Ignore Matches","","","","","","","","","","","","","","","CustomLabel$CEC_Button_Ignore_Matches","Will be Transalted","No"
"","CustomLabel.CEC_Button_ok","Ok","","","","","","","","","","","","","","","CustomLabel$CEC_Button_ok","Will be Transalted","No"
"","CustomLabel.CEC_ByPassRunObjectMatrixValidation","CEC_ByPassRunObjectMatrixValidation","","","","","","","","","","","","","","","CustomLabel$CEC_ByPassRunObjectMatrixValidation","Will be Transalted","No"
"","CustomLabel.CEC_Bypass_Inbound_Email_Response_Body","<p>\nDear UPS Customer,\n<br/><br/>\nThis email conversation is no longer active and your email has not reached the intended recipient. No further action will be taken by UPS.\n<br/><br/>\nFor additional support, please visit the <a href="https://www.ups.com/ca/en/global.page?" target="_blank">UPS Global Home</a> page and follow these instructions:\n<ol>\n<li>Select your country from the list.</li>\n<li>Select the <i>Customer Support</i> link in the upper right corner.\n<ul>\n<li>From the <b>Help and Support Center</b> page, use our virtual assistant (select countries only) for immediate support or scroll to find answers to Frequently Asked Questions (FAQs).</li>\n</ul>\n</li>\n</ol>\nThank you for choosing UPS.\n<br/><br/>\nThis is a system generated email. Please do not reply to this e-mail. \n</p>","","","","","","","","","","","","<p>\nChère cliente,\nCher client,\n<br/><br/>\nCette conversation par courriel n’est plus active et votre courriel n’a pas atteint son destinataire prévu. Aucune autre action ne sera prise par UPS.\n<br/><br/>\nPour obtenir du soutien, rendez-vous sur la <a href="https://www.ups.com/ca/fr/global.page?" target="_blank">page d'accueil mondiale d'UPS</a> puis suivez la procédure ci-dessous :\n<ol>\n<li>Choisissez votre pays à partir de la liste.</li>\n<li>Cliquez ensuite sur le lien <i>Service à la clientèle</i> qui se trouve dans le coin supérieur droit de l’écran.\n<ul>\n<li>À partir de la page <b>Centre d’assistance UPS</b>, accéder à notre assistant virtuel (dans les pays sélectionnés) pour obtenir une assistance immédiate ou faites défiler la page pour obtenir des réponses à vos questions.</li>\n</ul>\n</li>\n</ol>\nMerci de faire confiance à UPS.\n<br/><br/>\nVeuillez ne pas répondre à ce courriel, car il s’agit d’un message automatique.\n</p>","","","CustomLabel$CEC_Bypass_Inbound_Email_Response_Body","Will be Transalted","No"
"","CustomLabel.CEC_Bypass_Inbound_Email_Response_Subject","Email conversation is no longer active","","","","","","","","","","","","Conversation par courriel inactive","","","CustomLabel$CEC_Bypass_Inbound_Email_Response_Subject","Will be Transalted","No"
"","CustomLabel.CEC_Bypass_Inbound_Email_Restriction_Addresses","customerrelations@ups.com; escustomercare@ups.com","","","","","","","","","","","","","","","CustomLabel$CEC_Bypass_Inbound_Email_Restriction_Addresses","Will be Transalted","No"
"","CustomLabel.CEC_CASE_CATEGORIZATION","CASE CATEGORIZATION","","","","","","","","","","","","","","","CustomLabel$CEC_CASE_CATEGORIZATION","Will be Transalted","No"
"","CustomLabel.CEC_CCR_ReAssgn_AR_Error","CCR Users cannot reassign an AR case","","","","","","","","","","","","","","","CustomLabel$CEC_CCR_ReAssgn_AR_Error","Will be Transalted","No"
"","CustomLabel.CEC_CCR_Users_ProfileName","UPS CEC CCR","","","","","","","","","","","","","","","CustomLabel$CEC_CCR_Users_ProfileName","Will be Transalted","No"
"","CustomLabel.CEC_CTC_QuoteType","estimateTimeCost","","","","","","","","","","","","","","","CustomLabel$CEC_CTC_QuoteType","Will be Transalted","No"
"","CustomLabel.CEC_CTC_URL","https://wwwapps.ups.com/ctc/request?","","","","","","","","","","","","","","","CustomLabel$CEC_CTC_URL","Will be Transalted","No"
"","CustomLabel.CEC_CTI_Admin_Message",".","","","","","","","","","","","","","","","CustomLabel$CEC_CTI_Admin_Message","Will be Transalted","No"
"","CustomLabel.CEC_CTI_Integration_On_OFF_Switch","OFF","","","","","","","","","","","","","","","CustomLabel$CEC_CTI_Integration_On_OFF_Switch","Will be Transalted","No"
"","CustomLabel.CEC_CTI_Message","No data available","","","","","","Brak dostępnych danych","","","","Keine Daten verfügbar","","","","자료 없음","CustomLabel$CEC_CTI_Message","Will be Transalted","No"
"","CustomLabel.CEC_CTI_Timeout","5000","","","","","","","","","","","","","","","CustomLabel$CEC_CTI_Timeout","Will be Transalted","No"
"","CustomLabel.CEC_CalendarName","My Tasks","","","","","","","","","","","","","","","CustomLabel$CEC_CalendarName","Will be Transalted","No"
"","CustomLabel.CEC_CaseDeleteMatrixLabel","Record cannot be deleted","","","","","","","","","","","","","","","CustomLabel$CEC_CaseDeleteMatrixLabel","Will be Transalted","No"
"","CustomLabel.CEC_CaseInitialCaseDescription","This field cannot be updated","","","","","","","","","","","","","","","CustomLabel$CEC_CaseInitialCaseDescription","Will be Transalted","No"
"","CustomLabel.CEC_CaseInsertMatrixLabel","Record cannot be inserted","","","","","","","","","","","","","","","CustomLabel$CEC_CaseInsertMatrixLabel","Will be Transalted","No"
"","CustomLabel.CEC_CaseRecordType","CEC_Case","","","","","","","","","","","","","","","CustomLabel$CEC_CaseRecordType","Will be Transalted","No"
"","CustomLabel.CEC_CaseRecordTypeName","CEC Case","","","","","","","","","","","","","","","CustomLabel$CEC_CaseRecordTypeName","Will be Transalted","No"
"","CustomLabel.CEC_CaseRouting_NoQ_Error_Message","The routing destination queue has not been created yet:","","","","","","","","","","","","","","","CustomLabel$CEC_CaseRouting_NoQ_Error_Message","Will be Transalted","No"
"","CustomLabel.CEC_CaseUpdateMatrixLabel","This field cannot be updated","","","","","","","","","","","","","","","CustomLabel$CEC_CaseUpdateMatrixLabel","Will be Transalted","No"
"","CustomLabel.CEC_Case_AR_Contact_Missing_Message","Case Contact is Required","","","","","","","","","","","","","","","CustomLabel$CEC_Case_AR_Contact_Missing_Message","Will be Transalted","No"
"","CustomLabel.CEC_Case_AR_Contact_cannot_be_updated","The contact cannot be updated","","","","","","","","","","","","","","","CustomLabel$CEC_Case_AR_Contact_cannot_be_updated","Will be Transalted","No"
"","CustomLabel.CEC_Case_AR_InSufficinetCallersAddress","Caller Location does not have City or Postal Code.Please Enter a Different Address","","","","","","","","","","","","","","","CustomLabel$CEC_Case_AR_InSufficinetCallersAddress","Will be Transalted","No"
"","CustomLabel.CEC_Case_AR_Ineligible_Message","The currently provided information is not valid for Assistance Required Cases. Please make the appropriate changes.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_AR_Ineligible_Message","Will be Transalted","No"
"","CustomLabel.CEC_Case_AR_Insufficient_Access_Message","Insufficient Privileges.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_AR_Insufficient_Access_Message","Will be Transalted","No"
"","CustomLabel.CEC_Case_AR_Mandatory_Information_Misssing_Message","Mandatory information is required to create an Assistance Required Case. Please update and try again.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_AR_Mandatory_Information_Misssing_Message","Will be Transalted","No"
"","CustomLabel.CEC_Case_AR_is_Incident_Location_Same","Is the incident location the same as the caller's location?","","","","","","","","","","","","","","","CustomLabel$CEC_Case_AR_is_Incident_Location_Same","Will be Transalted","No"
"","CustomLabel.CEC_Case_Already_Marked_as_Corporate_Concern","This case has already been marked for Corporate Concern.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Already_Marked_as_Corporate_Concern","Will be Transalted","No"
"","CustomLabel.CEC_Case_Cannot_Mark_Corporate_Concern","You do not have sufficient privileges to perform this action.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Cannot_Mark_Corporate_Concern","Will be Transalted","No"
"","CustomLabel.CEC_Case_Comment_Object_Label","Case Comment{0}","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Comment_Object_Label","Will be Transalted","No"
"","CustomLabel.CEC_Case_CreatedDate_for_Attachment","11/20/2020 03:00 AM","","","","","","","","","","","","","","","CustomLabel$CEC_Case_CreatedDate_for_Attachment","Will be Transalted","No"
"","CustomLabel.CEC_Case_Doesnt_Route","DNR","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Doesnt_Route","Will be Transalted","No"
"","CustomLabel.CEC_Case_Escalation","Case Escalation","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Escalation","Will be Transalted","No"
"","CustomLabel.CEC_Case_Escalation_Reason_Label","Escalation Reason:","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_Case_IWANTTO_Error_Message","Mandatory information is required from the Contact Address in order to activate the I Want To options","","","","","","","","","","","","","","","CustomLabel$CEC_Case_IWANTTO_Error_Message","Will be Transalted","No"
"","CustomLabel.CEC_Case_Not_ReOpened","This function can only be used on a re-opened Assistance Required Case.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Not_ReOpened","Will be Transalted","No"
"","CustomLabel.CEC_Case_OrigCtry_Validation","The Country field is required to use this function. Please select a contact or update the contact's country information.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_OrigCtry_Validation","Will be Transalted","No"
"","CustomLabel.CEC_Case_Origin","Case Origin","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Origin","Will be Transalted","No"
"","CustomLabel.CEC_Case_Origin_Group_1","Email\nWeb\nChat\nCEC","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Origin_Group_1","Will be Transalted","No"
"","CustomLabel.CEC_Case_Origin_Group_3","Sales","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Origin_Group_3","Will be Transalted","No"
"","CustomLabel.CEC_Case_PC_Doesnt_Route","PCDNR","","","","","","","","","","","","","","","CustomLabel$CEC_Case_PC_Doesnt_Route","Will be Transalted","No"
"","CustomLabel.CEC_Case_Resolution","Case Resolution:","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_Case_Status_Escalated","Escalated","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_Case_Status_InProgress","In Progress","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_Case_Substatus_UpdatedByCustomer","Updated by Customer","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_Case_Trigger_Target_Date_Update_Delay_in_ms","10000","","","","","","","","","","","","","","","CustomLabel$CEC_Case_Trigger_Target_Date_Update_Delay_in_ms","Will be Transalted","No"
"","CustomLabel.CEC_Case_UI_Case_Type","Case Type","","","","","","","","","","","","","","","CustomLabel$CEC_Case_UI_Case_Type","Will be Transalted","No"
"","CustomLabel.CEC_Case_UI_Contact_Name","Contact Name","","","","","","","","","","","","","","","CustomLabel$CEC_Case_UI_Contact_Name","Will be Transalted","No"
"","CustomLabel.CEC_Case_UI_Use_This_Case","Use This Case","","","","","","","","","","","","","","","CustomLabel$CEC_Case_UI_Use_This_Case","Will be Transalted","No"
"","CustomLabel.CEC_Case_submitter_Failed_Message","Failed to update Case submitter details.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_submitter_Failed_Message","Will be Transalted","No"
"","CustomLabel.CEC_Case_submitter_Success_Message","Case submitter details updated successfully.","","","","","","","","","","","","","","","CustomLabel$CEC_Case_submitter_Success_Message","Will be Transalted","No"
"","CustomLabel.CEC_Category_Null_Err_Msg","Case Category and Case Sub Category cannot be blank.","","","","","","","","","","","","","","","CustomLabel$CEC_Category_Null_Err_Msg","Will be Transalted","No"
"","CustomLabel.CEC_Chat_KPI_Feedback_Confirmation_Label","We appreciate your feedback, thank you.","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_KPI_Feedback_Confirmation_Label","Will be Transalted","No"
"","CustomLabel.CEC_Chat_KPI_Feedback_Label","Did this chat session resolve your issue?","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_KPI_Feedback_Label","Will be Transalted","No"
"","CustomLabel.CEC_Chat_KPI_No_Feedback_Message","We apologize that we could not resolve your issue. Your feedback would be greatly appreciated. (max. 255 characters)","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_KPI_No_Feedback_Message","Will be Transalted","No"
"","CustomLabel.CEC_Chat_KPI_No_Message","We're sorry we couldn't resolve your  <br/> issue through this chat. <br/><br />\nPlease call us so we can further assist you.","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_KPI_No_Message","Will be Transalted","No"
"","CustomLabel.CEC_Chat_KPI_Number","1-855-407-1425","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_KPI_Number","Will be Transalted","No"
"","CustomLabel.CEC_Chat_KPI_Yes_Message","Thank You","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_KPI_Yes_Message","Will be Transalted","No"
"","CustomLabel.CEC_Chat_Threshold_ContactOptions","Or contact us by","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_Threshold_ContactOptions","Will be Transalted","No"
"","CustomLabel.CEC_Chat_Threshold_Email_URL","https://www.ups.com/upsemail/input?loc=en_US","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_Threshold_Email_URL","Will be Transalted","No"
"","CustomLabel.CEC_Chat_Threshold_HelpCenter_Text","Find Answers to Common Questions","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_Threshold_HelpCenter_Text","Will be Transalted","No"
"","CustomLabel.CEC_Chat_Threshold_HelpCenter_URL","https://www.ups.com/us/en/help-support-center.page","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_Threshold_HelpCenter_URL","Will be Transalted","No"
"","CustomLabel.CEC_Chat_Threshold_NoAgents","So sorry, our chat agents got tied up in other conversations and are no longer available\n<br/>","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_Threshold_NoAgents","Will be Transalted","No"
"","CustomLabel.CEC_Chat_Threshold_NoAgents_Cont","in our Help and Support Center","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_Threshold_NoAgents_Cont","Will be Transalted","No"
"","CustomLabel.CEC_Chat_Threshold_Phone_URL","https://www.ups.com/us/en/help-center/contact.page?","","","","","","","","","","","","","","","CustomLabel$CEC_Chat_Threshold_Phone_URL","Will be Transalted","No"
"","CustomLabel.CEC_Child_Case_Error_Message","A Child case cannot be created from an Assistance Required Case.","","","","","","","","","","","","","","","CustomLabel$CEC_Child_Case_Error_Message","Will be Transalted","No"
"","CustomLabel.CEC_Close_A_Case","Close a Case","","","","","","","","","","","","","","","CustomLabel$CEC_Close_A_Case","Will be Transalted","No"
"","CustomLabel.CEC_Close_A_Case_Comments","Case Resolution:","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_Close_Case_Email_Sent","Email Sent","","","","","","","","","","","","","","","CustomLabel$CEC_Close_Case_Email_Sent","Will be Transalted","No"
"","CustomLabel.CEC_Close_Case_Substatus","Request Completed","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_ContactTypeIcon","Contact Type","","","","","","","","","","","","","","","CustomLabel$CEC_ContactTypeIcon","Will be Transalted","No"
"","CustomLabel.CEC_Contact_CEC_Source_System","CEC","","","","","","","","","","","","","","","CustomLabel$CEC_Contact_CEC_Source_System","Will be Transalted","No"
"","CustomLabel.CEC_Contact_Comments","Contact Comments:","","","","","","","","","","","","","","","CustomLabel$CEC_Contact_Comments","Will be Transalted","No"
"","CustomLabel.CEC_Contact_Drive_Source_System","SFDC","","","","","","","","","","","","","","","CustomLabel$CEC_Contact_Drive_Source_System","Will be Transalted","No"
"","CustomLabel.CEC_Contact_Dupe_Batch_Time","2021-05-24 17:00:00","","","","","","","","","","","","","","","CustomLabel$CEC_Contact_Dupe_Batch_Time","Will be Transalted","No"
"","CustomLabel.CEC_Contact_Other_Source_System","EDG\nCRIS\nICRIS\nDWH\nD&B\nESTAT\nE2K\nMI\nUPSC\nMDM\nIDS\nEmployee_Data\nEWDT\nSIEBEL\nAvenue\nUPS BIA - Corporate Group\nEDGE\nNOT AVAILABLE\nCPS","","","","","","","","","","","","","","","CustomLabel$CEC_Contact_Other_Source_System","Will be Transalted","No"
"","CustomLabel.CEC_Copy_Current_Contact","Copy Current Contact","","","","","","","","","","","","","","","CustomLabel$CEC_Copy_Current_Contact","Will be Transalted","No"
"","CustomLabel.CEC_Copy_PRN_Message","Copy PRN to Shipment Identifier","","","","","","","","","","","","","","","CustomLabel$CEC_Copy_PRN_Message","Will be Transalted","No"
"","CustomLabel.CEC_Cron_Expression_for_4_hour_gap","0 0 0/4 1/1 * ? *","","","","","","","","","","","","","","","CustomLabel$CEC_Cron_Expression_for_4_hour_gap","Will be Transalted","No"
"","CustomLabel.CEC_Customer_Address_Duplicate_Message","The record you're about to create looks like a duplicate. Please review and use one of the existing addresses.","","","","","","","","","","","","","","","CustomLabel$CEC_Customer_Address_Duplicate_Message","Will be Transalted","No"
"","CustomLabel.CEC_Datatable_Only_One_Contact","Only one contact can be updated at the same time","","","","","","","","","","","","","","","CustomLabel$CEC_Datatable_Only_One_Contact","Will be Transalted","No"
"","CustomLabel.CEC_Days_Between_Reply_Email","5","","","","","","","","","","","","","","","CustomLabel$CEC_Days_Between_Reply_Email","Will be Transalted","No"
"","CustomLabel.CEC_DefaultProfiles","%System Administrator%UPS CEC Admin%UPS CEC CCR%UPS CEC Knowledge%UPS CEC Manager%UPS CEC SRC User%UPS CEC SRC Manager%UPS CEC Specialized User%","","","","","","","","","","","","","","","CustomLabel$CEC_DefaultProfiles","Will be Transalted","No"
"","CustomLabel.CEC_Default_Category","General Information","","","","","","","","","","","","","","","CustomLabel$CEC_Default_Category","Will be Transalted","No"
"","CustomLabel.CEC_Delete_Shipment_Identifier","Delete Shipment Identifier","","","","","","","","","","","","","","","CustomLabel$CEC_Delete_Shipment_Identifier","Will be Transalted","No"
"","CustomLabel.CEC_DoNotReplyEmailAddr","noreply_cs@ups.com","","","","","","","","","","","","","","","CustomLabel$CEC_DoNotReplyEmailAddr","Will be Transalted","No"
"","CustomLabel.CEC_Document_Customer_Contact_Error_Msg","This option is only applicable for Cases owned by Users.","","","","","","","","","","","","","","","CustomLabel$CEC_Document_Customer_Contact_Error_Msg","Will be Transalted","No"
"","CustomLabel.CEC_Duplicate_CaseRouting_Error_Message","A record like this already exists.","","","","","","","","","","","","","","","CustomLabel$CEC_Duplicate_CaseRouting_Error_Message","Will be Transalted","No"
"","CustomLabel.CEC_Duplicate_GuidedFlowSetting_Error_Message","Duplicate records found for this country","","","","","","","","","","","","","","","CustomLabel$CEC_Duplicate_GuidedFlowSetting_Error_Message","Will be Transalted","No"
"","CustomLabel.CEC_EFM_Days","10","","","","","","","","","","","","","","","CustomLabel$CEC_EFM_Days","Will be Transalted","No"
"","CustomLabel.CEC_EH_Contact_Country","Contact Country","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Contact_Country","Will be Transalted","No"
"","CustomLabel.CEC_EH_Contact_Email","Contact Email","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Contact_Email","Will be Transalted","No"
"","CustomLabel.CEC_EH_Contact_Method","Contact Method","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Contact_Method","Will be Transalted","No"
"","CustomLabel.CEC_EH_Contact_Name","Contact Name","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Contact_Name","Will be Transalted","No"
"","CustomLabel.CEC_EH_Contact_Preferred_Language","Preferred Language","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Contact_Preferred_Language","Will be Transalted","No"
"","CustomLabel.CEC_EH_Label","Escalation Hierarchy","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Label","Will be Transalted","No"
"","CustomLabel.CEC_EH_Level_1_Contact","Level 1 Contact","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Level_1_Contact","Will be Transalted","No"
"","CustomLabel.CEC_EH_Level_2_Contact","Level 2 Contact","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Level_2_Contact","Will be Transalted","No"
"","CustomLabel.CEC_EH_Level_3_Contact","Level 3 Contact","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Level_3_Contact","Will be Transalted","No"
"","CustomLabel.CEC_EH_Queue_Country","Queue Country","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Queue_Country","Will be Transalted","No"
"","CustomLabel.CEC_EH_Queue_Err_Message","A queue with this name already exists in the system.","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Queue_Err_Message","Will be Transalted","No"
"","CustomLabel.CEC_EH_Select_A_Queue_Label","Select a Queue","","","","","","","","","","","","","","","CustomLabel$CEC_EH_Select_A_Queue_Label","Will be Transalted","No"
"","CustomLabel.CEC_ETA","ETA","","","","","","","","","","","","","","","CustomLabel$CEC_ETA","Will be Transalted","No"
"","CustomLabel.CEC_Edit_Error_Message","Sorry, you cannot edit this item.","","","","","","","","","","","","","","","CustomLabel$CEC_Edit_Error_Message","Will be Transalted","No"
"","CustomLabel.CEC_Edit_Shipment_Identifier","Edit Shipment Identifier","","","","","","","","","","","","","","","CustomLabel$CEC_Edit_Shipment_Identifier","Will be Transalted","No"
"","CustomLabel.CEC_Email_Auto_Response_BC","'CEC GB PCA Universal','CEC GB PCA Tracking','CEC GB PCA SPOC 10','CEC GB PCA SPOC 9','CEC GB PCA SPOC 8','CEC GB PCA SPOC 7','CEC GB PCA SPOC 6','CEC GB PCA SPOC 5','CEC GB PCA SPOC 4','CEC GB PCA SPOC 3','CEC GB PCA SPOC 2','CEC GB PCA SPOC 1','CEC GB PCA POC 1','CEC GB PCA Healthcare','CEC GB FSG Tracking / GSR','CEC GB PCA CSTA / Tracing','CEC GB PCA GSR','CEC US Valued Customer Pilot',\n'CEC US PCA Pilot 2','CEC US Valued Cust Pilot Intl','CEC DE PCA 4 Tracking','CEC DE PCA 3 Universal','CEC DE PCA SPOC 8','CEC DE PCA SPOC 19','CEC DE PCA SPOC 18','CEC DE PCA SPOC 6','CEC DE PCA SPOC 15','CEC DE PCA SPOC 7','CEC DE PCA SPOC 12','CEC DE PCA SPOC 4','CEC DE PCA SPOC 5','CEC DE PCA SPOC 3','CEC DE PCA SPOC 2','CEC DE PCA SPOC 16','CEC DE PCA SPOC 9','CEC DE PCA SPOC 10','CEC DE PCA SPOC 13','CEC DE PCA SPOC 14','CEC US EOP'","","","","","","","","","","","","","","","CustomLabel$CEC_Email_Auto_Response_BC","Will be Transalted","No"
"","CustomLabel.CEC_Email_Auto_Response_Germany","'CEC DE PCA 4 Tracking','CEC DE PCA 3 Universal','CEC DE PCA SPOC 8','CEC DE PCA SPOC 19','CEC DE PCA SPOC 18','CEC DE PCA SPOC 6','CEC DE PCA SPOC 15','CEC DE PCA SPOC 7','CEC DE PCA SPOC 12','CEC DE PCA SPOC 4','CEC DE PCA SPOC 5','CEC DE PCA SPOC 3','CEC DE PCA SPOC 2','CEC DE PCA SPOC 16','CEC DE PCA SPOC 9','CEC DE PCA SPOC 10','CEC DE PCA SPOC 13','CEC DE PCA SPOC 14'","","","","","","","","","","","","","","","CustomLabel$CEC_Email_Auto_Response_Germany","Will be Transalted","No"
"","CustomLabel.CEC_Email_Domains",",","","","","","","","","","","","","","","","CustomLabel$CEC_Email_Domains","Will be Transalted","No"
